NCT Number,Title,Status,Study Results,Interventions,Gender,Age,URL
NCT01079741,Safety Study of Adjuvant Vaccine to Treat Melanoma Patients,Completed,Has Results,Biological: NY-ESO-1 protein; Poly-ICLC; Montanide,All,"18 Years and older   (Adult, Older Adult)",https://ClinicalTrials.gov/show/NCT01079741
NCT02203864,Dose Escalation Study to Evaluate Safety and Tolerability of an Allogeneic Tumor Vaccine BIWB 2 in Patients With Advanced Malignant Melanoma,Completed,No Results Available,Biological: BIBW2 component A|Biological: BIBW2 component B,All,"18 Years and older   (Adult, Older Adult)",https://ClinicalTrials.gov/show/NCT02203864
NCT00667953,Study of Temzolomide and Gleevec in Advanced Melanoma,Completed,No Results Available,Drug: Gleevec + Temozolomide,All,"18 Years and older   (Adult, Older Adult)",https://ClinicalTrials.gov/show/NCT00667953
NCT01496807,Yervoy With Sylatron Unresectable Stage 3 or 4 Melanoma,Completed,Has Results,Drug: Sylatron|Drug: Yervoy,All,"16 Years and older   (Child, Adult, Older Adult)",https://ClinicalTrials.gov/show/NCT01496807
NCT02360579,"Study of Lifileucel (LN-144), Autologous Tumor Infiltrating Lymphocytes, in the Treatment of Patients With Metastatic Melanoma","Active, not recruiting",No Results Available,Biological: Lifileucel,All,"18 Years and older   (Adult, Older Adult)",https://ClinicalTrials.gov/show/NCT02360579
NCT03047928,Combination Therapy With Nivolumab and PD-L1/IDO Peptide Vaccine to Patients With Metastatic Melanoma,Recruiting,No Results Available,Drug: Nivolumab|Biological: PD-L1/IDO peptide vaccine,All,"18 Years and older   (Adult, Older Adult)",https://ClinicalTrials.gov/show/NCT03047928
NCT00828126,PET-CT in the Management of Patients With Stage III or IV Metastatic Melanoma,Completed,No Results Available,Procedure: PET-CT Scan,All,"18 Years and older   (Adult, Older Adult)",https://ClinicalTrials.gov/show/NCT00828126
NCT00604136,Treatment of Metastatic Melanoma With Tumor Infiltrating Lymphocytes and IL-2 Following Lympho-depleting Chemotherapy,Recruiting,No Results Available,Biological: tumor infiltrating lymphocytes,All,"18 Years and older   (Adult, Older Adult)",https://ClinicalTrials.gov/show/NCT00604136
NCT02978443,A Biomarker Study in Advanced Mucosal or Acral Lentiginous Melanoma Receiving Nivolumab in Combination With Ipilimumab,Recruiting,No Results Available,Drug: Nivolumab|Drug: Ipilimumab,All,"18 Years and older   (Adult, Older Adult)",https://ClinicalTrials.gov/show/NCT02978443
NCT03241186,Ipilimumab and Nivolumab as Adjuvant Treatment of Mucosal Melanoma,Recruiting,No Results Available,Drug: Ipilimumab|Drug: Nivolumab,All,"18 Years and older   (Adult, Older Adult)",https://ClinicalTrials.gov/show/NCT03241186
NCT00138229,Cyclophosphamide and Fludarabine Followed By an Autologous Lymphocyte Infusion and Interleukin-2 in Treating Patients With Refractory or Recurrent Metastatic Melanoma,Terminated,No Results Available,Biological: aldesleukin|Biological: filgrastim|Biological: therapeutic autologous lymphocytes|Drug: cyclophosphamide|Drug: fludarabine phosphate,All,"18 Years and older   (Adult, Older Adult)",https://ClinicalTrials.gov/show/NCT00138229
NCT00565968,Sorafenib and Isolated Limb Infusion of Melphalan in Treating Patients With Stage III Melanoma of the Arm or Leg,Completed,No Results Available,Drug: melphalan|Drug: sorafenib tosylate|Genetic: gene expression analysis|Genetic: protein expression analysis|Genetic: western blotting|Other: pharmacological study,All,"18 Years and older   (Adult, Older Adult)",https://ClinicalTrials.gov/show/NCT00565968
NCT01340729,Open-Label Study of TPI 287 for Patients With Metastatic Melanoma,Withdrawn,No Results Available,Drug: TPI 287,All,"15 Years and older   (Child, Adult, Older Adult)",https://ClinicalTrials.gov/show/NCT01340729
NCT00849875,A Study of Safety and Clinical Activity of Immunotherapy Plus Chemotherapy in Metastatic Melanoma Patients,Terminated,Has Results,Biological: Immunotherapeutic GSK2132231A|Drug: Dacarbazine,All,"18 Years and older   (Adult, Older Adult)",https://ClinicalTrials.gov/show/NCT00849875
NCT00791271,Parallel Phase I/II Trial of Decitabine and Peg-Interferon in Melanoma: Phase I Portion,Terminated,No Results Available,Drug: Decitabine|Drug: Pegylated Interferon Alpha-2b,All,"18 Years and older   (Adult, Older Adult)",https://ClinicalTrials.gov/show/NCT00791271
NCT03776136,Efficacy and Safety of Lenvatinib (E7080/MK-7902) Plus Pembrolizumab (MK-3475) for Advanced Melanoma in Anti-Programmed Death-1/Programmed Death-Ligand 1 (PD-1/L1)-Exposed Participants (MK-7902-004/E7080-G000-225/LEAP-004),Not yet recruiting,No Results Available,Drug: lenvatinib|Biological: pembrolizumab,All,"18 Years and older   (Adult, Older Adult)",https://ClinicalTrials.gov/show/NCT03776136
NCT01681212,Phase 2 Study of Ipilimumab Plus Dacarbazine in Japanese Patients With Advanced Melanoma,Completed,Has Results,Drug: Ipilimumab|Drug: Dacarbazine,All,"20 Years and older   (Adult, Older Adult)",https://ClinicalTrials.gov/show/NCT01681212
NCT00002767,Interferon Alfa With or Without Vaccine Therapy in Treating Patients With Metastatic Melanoma,Unknown status,No Results Available,Biological: Detox-B adjuvant|Biological: recombinant interferon alfa,All,"18 Years and older   (Adult, Older Adult)",https://ClinicalTrials.gov/show/NCT00002767
NCT02959905,Treatment of Metastatic Melanoma With TSA-CTL(Tumor Specific Antigen-Induced Cytotoxic T Lymphocytes),Unknown status,No Results Available,Biological: TSA-CTL(Tumor Specific Antigen Induced Cytotoxic Lymphocyte)|Drug: Cyclophosphamide|Drug: Fludarabine,All,"18 Years to 70 Years   (Adult, Older Adult)",https://ClinicalTrials.gov/show/NCT02959905
NCT01502293,Trial of pIL-12 Electroporation Malignant Melanoma,Completed,No Results Available,Biological: Plasmid INTERLEUKIN-12|Device: Intratumoral Electroporation,All,"18 Years and older   (Adult, Older Adult)",https://ClinicalTrials.gov/show/NCT01502293
NCT00085423,"Cyclophosphamide, Fludarabine, and High-Dose Interleukin-2 in Treating Patients With Metastatic Melanoma",Completed,Has Results,Biological: aldesleukin|Biological: sargramostim|Drug: cyclophosphamide|Drug: fludarabine phosphate,All,"18 Years and older   (Adult, Older Adult)",https://ClinicalTrials.gov/show/NCT00085423
NCT00003747,Carboplatin and Temozolomide in Treating Patients With Unresectable or Metastatic Melanoma,Unknown status,No Results Available,Drug: carboplatin|Drug: temozolomide,All,"18 Years and older   (Adult, Older Adult)",https://ClinicalTrials.gov/show/NCT00003747
NCT00471887,"Ticilimumab (CP-675,206) in Treating Patients With Stage IIIC or Stage IV Melanoma",Completed,No Results Available,"Biological: CP-675,206",All,"18 Years and older   (Adult, Older Adult)",https://ClinicalTrials.gov/show/NCT00471887
NCT02843386,Comparison Between Fotemustin to Intensive Surveillance in Patients With High Risk Uveal Melanoma,"Active, not recruiting",No Results Available,Drug: Adjuvant chemotherapy by Fotemustin|Other: Intensive surveillance,All,"18 Years and older   (Adult, Older Adult)",https://ClinicalTrials.gov/show/NCT02843386
NCT01838200,A Phase I Study of Intralesional Bacillus Calmette-Guerin (BCG) and Followed by Ipilimumab Therapy in Patients With Advanced Metastatic Melanoma,Terminated,No Results Available,Biological: Bacillus Calmette-Guérin (BCG) vaccine|Drug: Ipilimumab,All,"18 Years and older   (Adult, Older Adult)",https://ClinicalTrials.gov/show/NCT01838200
NCT00003556,Vaccine Therapy in Treating Patients With Melanoma,Completed,No Results Available,Biological: ALVAC-hB7.1|Biological: canarypox-hIL-12 melanoma vaccine,All,"18 Years and older   (Adult, Older Adult)",https://ClinicalTrials.gov/show/NCT00003556
NCT00023647,Vaccine Therapy in Treating Patients With Stage IV Melanoma,Completed,No Results Available,Biological: Synchrotope TA2M,All,"18 Years and older   (Adult, Older Adult)",https://ClinicalTrials.gov/show/NCT00023647
NCT00003060,Chemotherapy Plus Bone Marrow Transplantation in Treating Patients With Metastatic Melanoma,Unknown status,No Results Available,Biological: filgrastim|Drug: busulfan|Drug: cyclophosphamide|Drug: cyclosporine|Drug: methotrexate|Procedure: allogeneic bone marrow transplantation,All,"16 Years to 44 Years   (Child, Adult)",https://ClinicalTrials.gov/show/NCT00003060
NCT00889980,Melanoma Molecular Profiling Analysis,Recruiting,No Results Available,Other: Biospecimen banking,All,"12 Years and older   (Child, Adult, Older Adult)",https://ClinicalTrials.gov/show/NCT00889980
NCT00085059,Boron Neutron Capture Therapy Using Boronophenylalanine-Fructose Complex in Treating Patients With Metastatic Melanoma,Terminated,No Results Available,Drug: boronophenylalanine-fructose complex,All,"18 Years and older   (Adult, Older Adult)",https://ClinicalTrials.gov/show/NCT00085059
NCT01657591,Study of XL888 With Vemurafenib for Patients With Unresectable BRAF Mutated Stage III/IV Melanoma,"Active, not recruiting",No Results Available,Drug: XL888|Drug: Vemurafenib,All,"18 Years and older   (Adult, Older Adult)",https://ClinicalTrials.gov/show/NCT01657591
NCT01721772,"Study of Nivolumab (BMS-936558) Compared With Dacarbazine in Untreated, Unresectable, or Metastatic Melanoma","Active, not recruiting",Has Results,Biological: BMS-936558 (Nivolumab)|Biological: Placebo matching BMS-936558 (Nivolumab)|Drug: Dacarbazine|Drug: Placebo matching Dacarbazine,All,"18 Years and older   (Adult, Older Adult)",https://ClinicalTrials.gov/show/NCT01721772
NCT01546571,"Study of a Melanoma Vaccine in Stage IIb, IIc, and III Melanoma Patients","Active, not recruiting",No Results Available,Biological: POL-103A|Biological: POL-103A without API,All,"18 Years to 80 Years   (Adult, Older Adult)",https://ClinicalTrials.gov/show/NCT01546571
NCT02663258,A Study of Anti-PD-1 (Pembrolizumab) Therapy in Metastatic Melanoma (ADAPTeM),Withdrawn,No Results Available,Drug: Pembrolizumab,All,"18 Years and older   (Adult, Older Adult)",https://ClinicalTrials.gov/show/NCT02663258
NCT03405155,Nivolumab in Treating Patients With Stage IIB-IIC Melanoma That Can Be Removed by Surgery,Recruiting,No Results Available,Biological: Nivolumab,All,"18 Years and older   (Adult, Older Adult)",https://ClinicalTrials.gov/show/NCT03405155
NCT01432860,A Comparison of Interventions to Teach Melanoma Patients Skin Self-examination,Completed,No Results Available,Behavioral: In-person counseling|Behavioral: Workbook|Behavioral: Tablet Computer-Based Education,All,"18 Years to 80 Years   (Adult, Older Adult)",https://ClinicalTrials.gov/show/NCT01432860
NCT00022464,CCI-779 in Treating Patients With Metastatic Melanoma,Completed,No Results Available,Drug: temsirolimus,All,"18 Years and older   (Adult, Older Adult)",https://ClinicalTrials.gov/show/NCT00022464
NCT00003897,Vaccine Therapy With gp100 and/or Sargramostim in Treating Patients With Malignant Melanoma,Completed,No Results Available,Biological: gp100 antigen|Biological: sargramostim,All,"18 Years and older   (Adult, Older Adult)",https://ClinicalTrials.gov/show/NCT00003897
NCT01449279,Pilot Ipilimumab in Stage IV Melanoma Receiving Palliative Radiation Therapy,"Active, not recruiting",Has Results,Drug: Ipilimumab|Radiation: Radiation Therapy,All,"18 Years and older   (Adult, Older Adult)",https://ClinicalTrials.gov/show/NCT01449279
NCT00107718,Anti-Tumor Activity Of SB-485232 In Patients With Previously Untreated Metastatic Melanoma,Completed,No Results Available,Drug: SB-485232,All,"18 Years and older   (Adult, Older Adult)",https://ClinicalTrials.gov/show/NCT00107718
NCT02334735,A Comparison of Matured Dendritic Cells and Montanide® in Study Subjects With High Risk of Melanoma Recurrence,Recruiting,No Results Available,Biological: DC Vaccine|Biological: Montanide Vaccine|Biological: Poly-ICLC,All,"18 Years and older   (Adult, Older Adult)",https://ClinicalTrials.gov/show/NCT02334735
NCT02993315,Melanoma Patients Immunized With Natural DenDritic Cells,Recruiting,No Results Available,Biological: nDC vaccination|Biological: placebo injection,All,"18 Years and older   (Adult, Older Adult)",https://ClinicalTrials.gov/show/NCT02993315
NCT01754376,Combined BRAF-Targeted Therapy & Immunotherapy for Melanoma,Terminated,Has Results,Drug: Aldesleukin|Drug: Vemurafenib,All,"18 Years and older   (Adult, Older Adult)",https://ClinicalTrials.gov/show/NCT01754376
NCT02156804,"A Single-Arm, Open-Label, Multicenter Clinical Trial With Nivolumab (BMS-936558) for Subjects With Histologically Confirmed Stage III (Unresectable) or Stage IV Melanoma Progressing Post Prior Treatment Containing an Anti-CTLA4 Monoclonal Antibody (CheckMate 172)","Active, not recruiting",No Results Available,Drug: Nivolumab (BMS-936558),All,"18 Years and older   (Adult, Older Adult)",https://ClinicalTrials.gov/show/NCT02156804
NCT00970996,"Cisplatin, Temozolomide, Abraxane, With Interleukin-2 and Interferon for Metastatic Melanoma",Completed,No Results Available,Drug: Temozolomide|Drug: Abraxane|Drug: Cisplatin|Biological: Interleukin-2|Biological: Interferon alpha 2b,All,"18 Years to 65 Years   (Adult, Older Adult)",https://ClinicalTrials.gov/show/NCT00970996
NCT00254397,Melanoma Vaccine With Peptides and Leuprolide,Completed,No Results Available,Drug: Leuprolide|Biological: GP100: 209-217(210M) Peptide|Biological: MAGE-3 Peptide,All,"18 Years and older   (Adult, Older Adult)",https://ClinicalTrials.gov/show/NCT00254397
NCT01689519,A Study Comparing Vemurafenib Versus Vemurafenib Plus Cobimetinib in Participants With Metastatic Melanoma,"Active, not recruiting",Has Results,Drug: Placebo|Drug: Vemurafenib|Drug: Cobimetinib,All,"18 Years and older   (Adult, Older Adult)",https://ClinicalTrials.gov/show/NCT01689519
NCT00003229,Vaccine Therapy in Treating Patients With Metastatic Melanoma Who Are Undergoing Surgery for Lymph Node and Tumor Removal,Completed,No Results Available,Biological: aldesleukin|Biological: gp100 antigen|Biological: tyrosinase peptide,All,"18 Years to 75 Years   (Adult, Older Adult)",https://ClinicalTrials.gov/show/NCT00003229
NCT02941744,A Clinical Trial: Adjuvant Low-dose Ipilimumab + Nivolumab After Resection of Melanoma Macrometastases,Completed,No Results Available,Drug: nivolumab|Drug: ipilimumab,All,"18 Years and older   (Adult, Older Adult)",https://ClinicalTrials.gov/show/NCT02941744
NCT00004104,Vaccine Therapy Plus Interleukin-2 With or Without Interferon Alfa-2b in Treating Patients With Stage III Melanoma,Completed,No Results Available,Biological: liposomal interleukin-2|Biological: polyvalent melanoma vaccine|Biological: recombinant interferon alfa,All,"18 Years to 75 Years   (Adult, Older Adult)",https://ClinicalTrials.gov/show/NCT00004104
NCT00017355,Vaccine Therapy in Treating Patients With Metastatic Melanoma,Unknown status,No Results Available,Biological: filgrastim|Biological: therapeutic autologous dendritic cells,All,"21 Years and older   (Adult, Older Adult)",https://ClinicalTrials.gov/show/NCT00017355
NCT00019383,Vaccine Therapy in Treating Patients With Recurrent or Refractory Metastatic Melanoma,Completed,No Results Available,Biological: aldesleukin|Biological: incomplete Freund's adjuvant|Biological: sargramostim|Biological: tyrosinase peptide|Biological: tyrosinase-related protein-1,All,"16 Years and older   (Child, Adult, Older Adult)",https://ClinicalTrials.gov/show/NCT00019383
NCT01709162,Study to Compare the Effect of Ipilimumab Retreatment With That of Chemotherapy in Advanced Melanoma,Terminated,Has Results,Biological: Ipilimumab|Drug: Chemotherapy,All,"18 Years and older   (Adult, Older Adult)",https://ClinicalTrials.gov/show/NCT01709162
NCT00003715,Vaccine Therapy Compared With Interferon Alfa in Treating Patients With Stage III Melanoma,Terminated,No Results Available,Biological: BCG vaccine|Biological: autologous tumor cell vaccine|Biological: recombinant interferon alfa|Drug: chemotherapy|Drug: cyclophosphamide,All,"18 Years to 120 Years   (Adult, Older Adult)",https://ClinicalTrials.gov/show/NCT00003715
NCT02385214,MelmarT Melanoma Margins Trial Investigating 1cm v 2cm Wide Excision Margins for Primary Cutaneous Melanoma,"Active, not recruiting",No Results Available,Procedure: Wide Local Excision = 1cm Margin|Procedure: Wide Local Excision = 2cm Margin,All,"18 Years and older   (Adult, Older Adult)",https://ClinicalTrials.gov/show/NCT02385214
NCT00074230,Vaccine Therapy in Treating Patients With Stage IV Cutaneous Melanoma,Completed,No Results Available,"Biological: Autologous Dendritic Cells loaded with MAGE-A3, MelanA and Survivin",All,"18 Years and older   (Adult, Older Adult)",https://ClinicalTrials.gov/show/NCT00074230
NCT01256359,Docetaxel With or Without AZD6244 in Melanoma,"Active, not recruiting",No Results Available,Drug: Docetaxel and AZD6244|Drug: Docetaxel and placebo,All,"16 Years and older   (Child, Adult, Older Adult)",https://ClinicalTrials.gov/show/NCT01256359
NCT01014351,Study of Everolimus With Paclitaxel and Carboplatin in Patients With Metastatic Melanoma,Completed,Has Results,Drug: Paclitaxel|Drug: Carboplatin|Drug: Everolimus,All,"18 Years and older   (Adult, Older Adult)",https://ClinicalTrials.gov/show/NCT01014351
NCT00085462,Gene-Modified White Blood Cells Followed By Interleukin-2 and Vaccine Therapy in Treating Patients With Metastatic Melanoma,Completed,No Results Available,Biological: aldesleukin|Biological: filgrastim|Biological: gp100-fowlpox vaccine|Biological: therapeutic autologous lymphocytes|Biological: therapeutic tumor infiltrating lymphocytes|Drug: cyclophosphamide|Drug: fludarabine phosphate,All,"18 Years and older   (Adult, Older Adult)",https://ClinicalTrials.gov/show/NCT00085462
NCT01531244,"Isolated Limb Infusion Chemotherapy With Targeted Gene Therapy for Advanced, Unresectable Extremity Melanoma",Withdrawn,No Results Available,Biological: dactinomycin|Drug: melphalan|Biological: Conditionally replicative adenovirus 3/5-delta,All,"18 Years and older   (Adult, Older Adult)",https://ClinicalTrials.gov/show/NCT01531244
NCT01682213,Adjuvant Dabrafenib (GSK2118436) in Patients With Surgically Resected AJCC Stage IIIC Melanoma Characterized by a BRAFV600E/K Mutation,"Active, not recruiting",No Results Available,Drug: Dabrafenib,All,"16 Years and older   (Child, Adult, Older Adult)",https://ClinicalTrials.gov/show/NCT01682213
NCT02379195,Peginterferon and TIL Therapy for Metastatic Melanoma,"Active, not recruiting",No Results Available,Drug: Cyclophosphamide|Drug: Fludarabine|Biological: TIL infusion|Drug: Interleukin-2|Drug: Peginterferon alfa-2b,All,"18 Years to 70 Years   (Adult, Older Adult)",https://ClinicalTrials.gov/show/NCT02379195
NCT01608594,Neoadjuvant Combination Therapy With Ipilimumab and HighDose IFN-α2b for Melanoma,Completed,No Results Available,Drug: administration of ipilimumab10mg/kg|Drug: administration of ipilimumab 3mg/kg + HDI,All,"18 Years and older   (Adult, Older Adult)",https://ClinicalTrials.gov/show/NCT01608594
NCT00019734,Vaccine Therapy in Treating Patients With Metastatic Melanoma,Completed,No Results Available,Biological: aldesleukin|Biological: fowlpox virus vaccine vector|Biological: vaccinia-tyrosinase vaccine,All,"16 Years and older   (Child, Adult, Older Adult)",https://ClinicalTrials.gov/show/NCT00019734
NCT03084640,Phase 1B Study Evaluating Alternative Routes of Administration of CMP-001 in Combination With Pembrolizumab in Participants With Advanced Melanoma,Recruiting,No Results Available,Drug: CMP-001|Drug: Pembrolizumab,All,"18 Years and older   (Adult, Older Adult)",https://ClinicalTrials.gov/show/NCT03084640
NCT03416933,Therapeutic Drug Monitoring of BRAF-mutated Advanced Melanoma,Recruiting,No Results Available,Other: Blood sampling,All,"18 Years and older   (Adult, Older Adult)",https://ClinicalTrials.gov/show/NCT03416933
NCT00518895,Trial of Dacarbazine With or Without Genasense in Advanced Melanoma,Completed,No Results Available,Drug: dacarbazine plus Genasense|Drug: dacarbazine plus placebo,All,"18 Years and older   (Adult, Older Adult)",https://ClinicalTrials.gov/show/NCT00518895
NCT00026520,Interferon Alfa and Thalidomide in Treating Patients With Stage IV Melanoma,Completed,No Results Available,Biological: recombinant interferon alfa|Drug: thalidomide,All,"18 Years and older   (Adult, Older Adult)",https://ClinicalTrials.gov/show/NCT00026520
NCT00505635,Biochemotherapy With Temozolomide for Metastatic Melanoma,Terminated,Has Results,Drug: Temozolomide|Drug: Velban|Drug: Cisplatin|Drug: Interleukin-2|Drug: Intron-A|Drug: Thalidomide,All,"18 Years to 65 Years   (Adult, Older Adult)",https://ClinicalTrials.gov/show/NCT00505635
NCT00022568,Vaccine Therapy in Treating Patients With Metastatic Melanoma,Unknown status,No Results Available,Biological: recombinant vaccinia-TRICOM vaccine,All,"18 Years and older   (Adult, Older Adult)",https://ClinicalTrials.gov/show/NCT00022568
NCT00200577,Tumor Infiltrating Lymphocytes Adjuvant Therapy of Melanoma,Completed,No Results Available,Drug: TIL + IL2,All,"up to 75 Years   (Child, Adult, Older Adult)",https://ClinicalTrials.gov/show/NCT00200577
NCT00091104,"Cyclophosphamide and Fludarabine Followed by Vaccine Therapy, Gene-Modified White Blood Cell Infusions, and Aldesleukin in Treating Patients With Metastatic Melanoma",Completed,No Results Available,Biological: MART-1:27-35 peptide vaccine|Biological: aldesleukin|Biological: filgrastim|Biological: incomplete Freund's adjuvant|Biological: therapeutic autologous lymphocytes|Biological: therapeutic tumor infiltrating lymphocytes|Drug: cyclophosphamide|Drug: fludarabine phosphate|Procedure: autologous hematopoietic stem cell transplantation|Procedure: in vitro-treated peripheral blood stem cell transplantation|Radiation: total-body irradiation,All,"18 Years and older   (Adult, Older Adult)",https://ClinicalTrials.gov/show/NCT00091104
NCT01121718,NIR-Guided Sentinel Lymph Node Mapping in Melanoma,Completed,No Results Available,Drug: ICG Intervention,All,"18 Years and older   (Adult, Older Adult)",https://ClinicalTrials.gov/show/NCT01121718
NCT00072085,Immunization With gp100 Protein Vaccine in Treating Patients With Metastatic Melanoma,Completed,No Results Available,Biological: aldesleukin|Biological: gp100 antigen|Biological: incomplete Freund's adjuvant,All,"16 Years and older   (Child, Adult, Older Adult)",https://ClinicalTrials.gov/show/NCT00072085
NCT01866319,Study to Evaluate the Safety and Efficacy of Two Different Dosing Schedules of Pembrolizumab (MK-3475) Compared to Ipilimumab in Participants With Advanced Melanoma (MK-3475-006/KEYNOTE-006),"Active, not recruiting",Has Results,Biological: Pembrolizumab|Biological: Ipilimumab,All,"18 Years and older   (Adult, Older Adult)",https://ClinicalTrials.gov/show/NCT01866319
NCT01489059,Safety Study of IL-21/Ipilimumab Combination in the Treatment of Melanoma,Completed,No Results Available,Biological: BMS-982470 (recombinant interleukin-21)|Biological: Ipilimumab,All,"18 Years and older   (Adult, Older Adult)",https://ClinicalTrials.gov/show/NCT01489059
NCT00005971,Flavopiridol in Treating Patients With Metastatic Malignant Melanoma,Completed,No Results Available,Drug: alvocidib,All,"18 Years and older   (Adult, Older Adult)",https://ClinicalTrials.gov/show/NCT00005971
NCT01667419,A Study of Vemurafenib Adjuvant Therapy in Participants With Surgically Resected Cutaneous BRAF-Mutant Melanoma,"Active, not recruiting",Has Results,Drug: Vemurafenib|Drug: Placebo,All,"18 Years and older   (Adult, Older Adult)",https://ClinicalTrials.gov/show/NCT01667419
NCT00045357,Biological Therapy in Treating Patients With Metastatic Melanoma,Completed,No Results Available,Biological: therapeutic autologous lymphocytes,All,"18 Years to 75 Years   (Adult, Older Adult)",https://ClinicalTrials.gov/show/NCT00045357
NCT02354690,Vemurafenib and TIL Therapy for Metastatic Melanoma,"Active, not recruiting",No Results Available,Drug: Vemurafenib|Drug: Lymphodepleting chemotherapy|Drug: TIL infusion|Drug: Interleukin-2,All,"18 Years to 70 Years   (Adult, Older Adult)",https://ClinicalTrials.gov/show/NCT02354690
NCT03581188,A Research Study of Patient-led Surveillance Compared to Clinician-led Surveillance in People Treated for Localised Melanoma.,Enrolling by invitation,No Results Available,Behavioral: Self-examination of the skin,All,"18 Years and older   (Adult, Older Adult)",https://ClinicalTrials.gov/show/NCT03581188
NCT00796445,"A Phase III Study to Test the Benefit of a New Kind of Anti-cancer Treatment in Patients With Melanoma, After Surgical Removal of Their Tumor",Terminated,No Results Available,Drug: GSK 2132231A|Drug: Placebo,All,"18 Years and older   (Adult, Older Adult)",https://ClinicalTrials.gov/show/NCT00796445
NCT00019721,Vaccine Therapy With or Without Interleukin-2 in Treating Patients With Metastatic Melanoma,Completed,No Results Available,Biological: MART-1 antigen|Biological: aldesleukin|Biological: gp100 antigen|Biological: incomplete Freund's adjuvant,All,"16 Years and older   (Child, Adult, Older Adult)",https://ClinicalTrials.gov/show/NCT00019721
NCT00039325,Vaccine Therapy in Treating Patients With Stage IV or Recurrent Malignant Melanoma,Completed,No Results Available,Biological: dendritic cell-MART-1 peptide vaccine,All,"18 Years and older   (Adult, Older Adult)",https://ClinicalTrials.gov/show/NCT00039325
NCT00577382,SU011248 in Patients With Metastatic Mucosal or Acral/Lentiginous Melanoma,Completed,Has Results,Drug: Sunitinib,All,"18 Years and older   (Adult, Older Adult)",https://ClinicalTrials.gov/show/NCT00577382
NCT02938728,Definition of an Immune Signature Predictive of Anti-PD1 (Programmed Death-1) Antibody in the Treatment of Advanced Melanoma,Not yet recruiting,No Results Available,Other: Biopsies,All,"18 Years and older   (Adult, Older Adult)",https://ClinicalTrials.gov/show/NCT02938728
NCT00033228,Vaccine Therapy in Treating Patients With Stage IV Melanoma,Completed,No Results Available,Biological: MKC1106-MT,All,"18 Years and older   (Adult, Older Adult)",https://ClinicalTrials.gov/show/NCT00033228
NCT00071981,Vaccine Therapy Using Melanoma Peptides for Cytotoxic T Cells and Helper T Cells in Treating Patients With Metastatic Melanoma,Completed,Has Results,Biological: incomplete Freund's adjuvant|Biological: melanoma helper peptide vaccine|Biological: multi-epitope melanoma peptide vaccine|Biological: sargramostim|Biological: tetanus peptide melanoma vaccine,All,"18 Years and older   (Adult, Older Adult)",https://ClinicalTrials.gov/show/NCT00071981
NCT00072124,Dacarbazine and/or Cisplatin Compared With Complete Metastasectomy in Treating Patients With Stage IV Melanoma,Completed,No Results Available,Drug: cisplatin|Drug: dacarbazine|Procedure: conventional surgery,All,"16 Years and older   (Child, Adult, Older Adult)",https://ClinicalTrials.gov/show/NCT00072124
NCT00963664,Evaluation of Interferon-Lovastatin Therapy for Malignant Melanoma,Withdrawn,No Results Available,Drug: lovastatin|Drug: interferon alfa-2b,All,"18 Years and older   (Adult, Older Adult)",https://ClinicalTrials.gov/show/NCT00963664
NCT01611675,Leflunomide+Vemurafenib in V600 Mutant Met. Melanoma,Terminated,No Results Available,Drug: Vemurafenib|Drug: Leflunomide,All,"18 Years and older   (Adult, Older Adult)",https://ClinicalTrials.gov/show/NCT01611675
NCT00020397,Vaccine Therapy in Treating Patients With Refractory Metastatic Melanoma,Completed,No Results Available,Biological: NY-ESO-1 peptide vaccine|Biological: aldesleukin,All,"16 Years and older   (Child, Adult, Older Adult)",https://ClinicalTrials.gov/show/NCT00020397
NCT00085579,Interleukin-2 and Sargramostim After Chemotherapy in Treating Patients With Stage III or Stage IV Melanoma,Withdrawn,No Results Available,Biological: aldesleukin|Biological: sargramostim|Procedure: adjuvant therapy,All,"16 Years and older   (Child, Adult, Older Adult)",https://ClinicalTrials.gov/show/NCT00085579
NCT00002669,"Combination Chemotherapy, Interferon Alfa, and Interleukin-2 in Treating Patients With Metastatic Melanoma",Completed,No Results Available,Biological: aldesleukin|Biological: recombinant interferon alfa|Drug: cisplatin|Drug: dacarbazine,All,"18 Years to 70 Years   (Adult, Older Adult)",https://ClinicalTrials.gov/show/NCT00002669
NCT00104988,S0508: Thalidomide and Temozolomide in Treating Patients With Stage IV Melanoma That Cannot Be Removed By Surgery,Completed,No Results Available,Drug: temozolomide|Drug: thalidomide,All,"18 Years and older   (Adult, Older Adult)",https://ClinicalTrials.gov/show/NCT00104988
NCT01251978,Ranibizumab as Adjuvant Therapy for the Treatment of Choroidal Melanoma (Cohort 2),Completed,Has Results,Drug: Ranibizumab 2 mg|Drug: 0.5 mg Ranibizumab,All,"50 Years to 90 Years   (Adult, Older Adult)",https://ClinicalTrials.gov/show/NCT01251978
NCT00049530,PEG-Interferon Alfa-2b in Treating Patients With Stage IV Melanoma,Completed,Has Results,Biological: PEG-interferon alfa-2b,All,"18 Years and older   (Adult, Older Adult)",https://ClinicalTrials.gov/show/NCT00049530
NCT00463892,High-resolution Magnetic Resonance Imaging (MRI) Scans to Look for Spread of Melanoma to Nearby Lymph Nodes,Completed,No Results Available,Procedure: High-resolution contrast-enhanced MRI scan,All,"18 Years and older   (Adult, Older Adult)",https://ClinicalTrials.gov/show/NCT00463892
