# The Comparative Toxicogenomics Database (CTD) - http://ctdbase.org/,,,,,,,,
#   Copyright 2002-2012 MDI Biological Laboratory. All rights reserved.,,,,,,,,
#   Copyright 2012-2019 MDI Biological Laboratory & NC State University. All rights reserved.,,,,,,,,
#  ,,,,,,,,
# ,,,,,,,,
# Use is subject to the terms set forth at http://ctdbase.org/about/legal.jsp,,,,,,,,
# These terms include:,,,,,,,,
# ,,,,,,,,
#   1. All forms of publication (e.g., web sites, research papers, databases,,,,,
#      software applications, etc.) that use or rely on CTD data must cite CTD.,,,,,,,
#      Citation guidelines: http://ctdbase.org/about/publications/#citing,,,,,,,,
# ,,,,,,,,
#   2. All electronic or online applications must include hyperlinks from ,,,,,,,,
#      contexts that use CTD data to the applicable CTD data pages.,,,,,,,,
#      Linking instructions: http://ctdbase.org/help/linking.jsp,,,,,,,,
# ,,,,,,,,
#   3. You must notify CTD, and describe your use of our data:,,,,,,,
#      http://ctdbase.org/help/contact.go,,,,,,,,
# ,,,,,,,,
#   4. For quality control purposes, you must provide CTD with periodic ,,,,,,,
#      access to your publication of our data.,,,,,,,,
# ,,,,,,,,
# More information: http://ctdbase.org/downloads/,,,,,,,,
# ,,,,,,,,
# Report created: Tue Feb 05 15:10:21 EST 2019,,,,,,,,
#,,,,,,,,
# Fields:,,,,,,,,
# DiseaseName,DiseaseID,AltDiseaseIDs,Definition,ParentIDs,TreeNumbers,ParentTreeNumbers,Synonyms,SlimMappings
#,,,,,,,,
"46,XY Gonadal Dysgenesis, Complete or Partial, DHH-Related",MESH:C565537,OMIM:233420,,MESH:D006061,C12.706.316.096.687/C565537|C12.706.316.309.388/C565537|C13.351.875.253.096.687/C565537|C13.351.875.253.309.388/C565537|C16.131.939.316.096.687/C565537|C16.131.939.316.309.388/C565537|C19.391.119.096.687/C565537|C19.391.119.309.388/C565537,C12.706.316.096.687|C12.706.316.309.388|C13.351.875.253.096.687|C13.351.875.253.309.388|C16.131.939.316.096.687|C16.131.939.316.309.388|C19.391.119.096.687|C19.391.119.309.388,"46,XY GONADAL DYSGENESIS, PARTIAL OR COMPLETE, DHH-RELATED|46,XY SEX REVERSAL 7|46,XY SEX REVERSAL, PARTIAL OR COMPLETE, DHH-RELATED|GDXYM|Gonadal Dysgenesis, XY, Male Limited|GONADAL DYSGENESIS, XY, MALE-LIMITED|SRXY7",Congenital abnormality|Endocrine system disease|Urogenital disease (female)|Urogenital disease (male)
"46,Xy Gonadal Dysgenesis, Complete, Sry-Related",MESH:C567574,,,MESH:D006061,C12.706.316.096.687/C567574|C12.706.316.309.388/C567574|C13.351.875.253.096.687/C567574|C13.351.875.253.309.388/C567574|C16.131.939.316.096.687/C567574|C16.131.939.316.309.388/C567574|C19.391.119.096.687/C567574|C19.391.119.309.388/C567574,C12.706.316.096.687|C12.706.316.309.388|C13.351.875.253.096.687|C13.351.875.253.309.388|C16.131.939.316.096.687|C16.131.939.316.309.388|C19.391.119.096.687|C19.391.119.309.388,"Gonadal Dysgenesis, Xy Female Type",Congenital abnormality|Endocrine system disease|Urogenital disease (female)|Urogenital disease (male)
"46,Xy Gonadal Dysgenesis, Partial, With Minifascicular Neuropathy",MESH:C567773,OMIM:607080,,MESH:D006061|MESH:D011115,C10.668.829.800/C567773|C12.706.316.096.687/C567773|C12.706.316.309.388/C567773|C13.351.875.253.096.687/C567773|C13.351.875.253.309.388/C567773|C16.131.939.316.096.687/C567773|C16.131.939.316.309.388/C567773|C19.391.119.096.687/C567773|C19.391.119.309.388/C567773,C10.668.829.800|C12.706.316.096.687|C12.706.316.309.388|C13.351.875.253.096.687|C13.351.875.253.309.388|C16.131.939.316.096.687|C16.131.939.316.309.388|C19.391.119.096.687|C19.391.119.309.388,,Congenital abnormality|Endocrine system disease|Nervous system disease|Urogenital disease (female)|Urogenital disease (male)
"46,XY SEX REVERSAL 1",OMIM:400044,DO:DOID:14448,,MESH:D006061|MESH:D050090,C12.706.316.096.687/400044|C12.706.316.309.388/400044|C12.706.316.343/400044|C13.351.875.253.096.687/400044|C13.351.875.253.309.388/400044|C13.351.875.253.343/400044|C16.131.939.316.096.687/400044|C16.131.939.316.309.388/400044|C16.131.939.316.343/400044|C19.391.119.096.687/400044|C19.391.119.309.388/400044|C19.391.119.343/400044,C12.706.316.096.687|C12.706.316.309.388|C12.706.316.343|C13.351.875.253.096.687|C13.351.875.253.309.388|C13.351.875.253.343|C16.131.939.316.096.687|C16.131.939.316.309.388|C16.131.939.316.343|C19.391.119.096.687|C19.391.119.309.388|C19.391.119.343,"46,XY GONADAL DYSGENESIS, COMPLETE, SRY-RELATED 46,XY TRUE HERMAPHRODITISM, SRY-RELATED, INCLUDED|46,XY SEX REVERSAL, SRY-RELATED|SEX-REVERSING LOCUS ON X, FORMERLY, INCLUDED;SRVX, FORMERLY, INCLUDED|SRXY1|TESTIS-DETERMINING FACTOR, X-CHROMOSOMAL, FORMERLY, INCLUDED;TDFX, FORMERLY, INCLUDED",Congenital abnormality|Endocrine system disease|Urogenital disease (female)|Urogenital disease (male)
"46,XY SEX REVERSAL 10",OMIM:616425,,,MESH:D006061,C12.706.316.096.687/616425|C12.706.316.309.388/616425|C13.351.875.253.096.687/616425|C13.351.875.253.309.388/616425|C16.131.939.316.096.687/616425|C16.131.939.316.309.388/616425|C19.391.119.096.687/616425|C19.391.119.309.388/616425,C12.706.316.096.687|C12.706.316.309.388|C13.351.875.253.096.687|C13.351.875.253.309.388|C16.131.939.316.096.687|C16.131.939.316.309.388|C19.391.119.096.687|C19.391.119.309.388,CHROMOSOME 17q24 DELETION SYNDROME|SRXY10,Congenital abnormality|Endocrine system disease|Urogenital disease (female)|Urogenital disease (male)
"46,XY Sex Reversal 4",MESH:C567887,OMIM:154230,,MESH:D006061,C12.706.316.096.687/C567887|C12.706.316.309.388/C567887|C13.351.875.253.096.687/C567887|C13.351.875.253.309.388/C567887|C16.131.939.316.096.687/C567887|C16.131.939.316.309.388/C567887|C19.391.119.096.687/C567887|C19.391.119.309.388/C567887,C12.706.316.096.687|C12.706.316.309.388|C13.351.875.253.096.687|C13.351.875.253.309.388|C16.131.939.316.096.687|C16.131.939.316.309.388|C19.391.119.096.687|C19.391.119.309.388,"46,Xy Gonadal Dysgenesis, Complete Or Partial, With 9p24.3 Deletion|46,XY GONADAL DYSGENESIS, PARTIAL OR COMPLETE, WITH 9p24.3 DELETION|Chromosome 9p24.3 Deletion Syndrome|SRXY4",Congenital abnormality|Endocrine system disease|Urogenital disease (female)|Urogenital disease (male)
"46, XY Sex Reversal 5",MESH:C567766,OMIM:613080,,MESH:D006061,C12.706.316.096.687/C567766|C12.706.316.309.388/C567766|C13.351.875.253.096.687/C567766|C13.351.875.253.309.388/C567766|C16.131.939.316.096.687/C567766|C16.131.939.316.309.388/C567766|C19.391.119.096.687/C567766|C19.391.119.309.388/C567766,C12.706.316.096.687|C12.706.316.309.388|C13.351.875.253.096.687|C13.351.875.253.309.388|C16.131.939.316.096.687|C16.131.939.316.309.388|C19.391.119.096.687|C19.391.119.309.388,"46,Xy Gonadal Dysgenesis, Complete, Cbx2-Related|46,XY SEX REVERSAL 5|46,XY SEX REVERSAL, CBX2-RELATED|Disorder Of Sex Development, 46,Xy, Cbx2-Related|Sex Reversal, Xy, Cbx2-Related|SRXY5",Congenital abnormality|Endocrine system disease|Urogenital disease (female)|Urogenital disease (male)
"46,XY SEX REVERSAL 6",OMIM:613762,DO:DOID:14448,,MESH:D006061,C12.706.316.096.687/613762|C12.706.316.309.388/613762|C13.351.875.253.096.687/613762|C13.351.875.253.309.388/613762|C16.131.939.316.096.687/613762|C16.131.939.316.309.388/613762|C19.391.119.096.687/613762|C19.391.119.309.388/613762,C12.706.316.096.687|C12.706.316.309.388|C13.351.875.253.096.687|C13.351.875.253.309.388|C16.131.939.316.096.687|C16.131.939.316.309.388|C19.391.119.096.687|C19.391.119.309.388,"46,XY GONADAL DYSGENESIS, PARTIAL OR COMPLETE, MAP3K1-RELATED|46,XY SEX REVERSAL, PARTIAL OR COMPLETE, MAP3K1-RELATED|SRXY6",Congenital abnormality|Endocrine system disease|Urogenital disease (female)|Urogenital disease (male)
"46,XY SEX REVERSAL 9",OMIM:616067,DO:DOID:14448,,MESH:D006061,C12.706.316.096.687/616067|C12.706.316.309.388/616067|C13.351.875.253.096.687/616067|C13.351.875.253.309.388/616067|C16.131.939.316.096.687/616067|C16.131.939.316.309.388/616067|C19.391.119.096.687/616067|C19.391.119.309.388/616067,C12.706.316.096.687|C12.706.316.309.388|C13.351.875.253.096.687|C13.351.875.253.309.388|C16.131.939.316.096.687|C16.131.939.316.309.388|C19.391.119.096.687|C19.391.119.309.388,"46,XY SEX REVERSAL, ZFPM2-RELATED|SRXY9",Congenital abnormality|Endocrine system disease|Urogenital disease (female)|Urogenital disease (male)
"46,Xy True Hermaphroditism, Sry-Related",MESH:C567575,,,MESH:D050090|MESH:D058490,C12.706.316.096/C567575|C12.706.316.343/C567575|C13.351.875.253.096/C567575|C13.351.875.253.343/C567575|C16.131.939.316.096/C567575|C16.131.939.316.343/C567575|C19.391.119.096/C567575|C19.391.119.343/C567575,C12.706.316.096|C12.706.316.343|C13.351.875.253.096|C13.351.875.253.343|C16.131.939.316.096|C16.131.939.316.343|C19.391.119.096|C19.391.119.343,,Congenital abnormality|Endocrine system disease|Urogenital disease (female)|Urogenital disease (male)
"47, XYY syndrome",MESH:C535317,,,MESH:D014997|MESH:D025064,C16.131.260.830/C535317|C16.320.180.830/C535317|C23.550.210.024.500/C535317|C23.550.210.815.970/C535317,C16.131.260.830|C16.320.180.830|C23.550.210.024.500|C23.550.210.815.970,47 XYY syndrome|Jacob's syndrome|XYY syndrome|YY syndrome,Congenital abnormality|Genetic disease (inborn)|Pathology (process)
"49,XXXXX syndrome",MESH:C535319,,,MESH:D000782|MESH:D012729|MESH:D025064,C16.131.260.830/C535319|C16.320.180.830/C535319|C23.550.210.050/C535319|C23.550.210.815/C535319,C16.131.260.830|C16.320.180.830|C23.550.210.050|C23.550.210.815,Chromosome X pentasomy|Chromosome XXXXX syndrome|Pentasomy X|Pentasomy X syndrome|Penta-X syndrome,Congenital abnormality|Genetic disease (inborn)|Pathology (process)
4-hydroxyphenylacetic aciduria,MESH:C535315,,,MESH:D007410,C06.405.469/C535315,C06.405.469,,Digestive system disease
5 alpha Fluorouracil toxicity,MESH:C531667,,,MESH:D054067,C16.320.565.798.183/C531667|C18.452.648.798.183/C531667,C16.320.565.798.183|C18.452.648.798.183,,Genetic disease (inborn)|Metabolic disease
5-HYDROXYTRYPTAMINE OXYGENASE REGULATOR,OMIM:143460,,,MESH:D004314,C10.597.606.360.220/143460|C16.131.077.327/143460|C16.131.260.260/143460|C16.320.180.260/143460,C10.597.606.360.220|C16.131.077.327|C16.131.260.260|C16.320.180.260,HTOR,Congenital abnormality|Genetic disease (inborn)|Nervous system disease
5-Nucleotidase syndrome,MESH:C535321,,,MESH:D008661,C16.320.565/C535321|C18.452.648/C535321,C16.320.565|C18.452.648,5'-Nucleotidase syndrome,Genetic disease (inborn)|Metabolic disease
5-oxoprolinase deficiency,MESH:C535322,OMIM:260005,,MESH:D000592,C16.320.565.100/C535322|C18.452.648.100/C535322,C16.320.565.100|C18.452.648.100,5-alpha-oxoprolinase deficiency|OPLAHD|Oxoprolinuria due to 5-oxoprolinase deficiency|Oxoprolinuria Due To Oxoprolinase Deficiency,Genetic disease (inborn)|Metabolic disease
6-Phosphogluconolactonase Deficiency,MESH:C566803,,,MESH:D000743|MESH:D008661,C15.378.071.141/C566803|C16.320.565/C566803|C18.452.648/C566803,C15.378.071.141|C16.320.565|C18.452.648,6PGL Deficiency,Blood disease|Genetic disease (inborn)|Metabolic disease
6-pyruvoyl-tetrahydropterin synthase deficiency,MESH:C535325,DO:DOID:0090106|OMIM:261640,,MESH:D010661,C10.228.140.163.100.687/C535325|C16.320.565.100.766/C535325|C16.320.565.189.687/C535325|C18.452.132.100.687/C535325|C18.452.648.100.766/C535325|C18.452.648.189.687/C535325,C10.228.140.163.100.687|C16.320.565.100.766|C16.320.565.189.687|C18.452.132.100.687|C18.452.648.100.766|C18.452.648.189.687,"6-PYRUVOYL-TETRAHYDROPTERIN SYNTHASE DEFICIENCY|HPABH4A|HYPERPHENYLALANINEMIA, BH4-DEFICIENT, A|Hyperphenylalaninemia, BH4-Deficient, Type A|Hyperphenylalaninemia due to 6-pyruvoyltetrahydropterin synthase deficiency|Hyperphenylalaninemia, Tetrahydrobiopterin-Deficient, Due To PTS Deficiency|PTS Deficiency|PTS DEFICIENCY  HYPERPHENYLALANINEMIA, BH4-DEFICIENT, DUE TO PARTIAL PTS DEFICIENCY, INCLUDED",Genetic disease (inborn)|Metabolic disease|Nervous system disease
6q24-Related Transient Neonatal Diabetes Mellitus,MESH:C579872,,,MESH:D003920,C18.452.394.750/C579872|C19.246/C579872,C18.452.394.750|C19.246,6q24-Tndm|Tndm Type 1,Endocrine system disease|Metabolic disease
"6q+ Syndrome, Partial",MESH:C537810,,,MESH:D014314|MESH:D025063,C16.131.260/C537810|C16.320.180/C537810|C23.550.210.050.750/C537810|C23.550.210.182.500/C537810,C16.131.260|C16.320.180|C23.550.210.050.750|C23.550.210.182.500,"Chromosome 6, partial trisomy 6q|Chromosome 6, Trisomy 6q2|Distal Duplication 6q|Trisomy 6q, Partial|Trisomy 6q Syndrome, Partial",Congenital abnormality|Genetic disease (inborn)|Pathology (process)
7p2 monosomy syndrome,MESH:C537818,,,MESH:D002872|MESH:D025063,C16.131.260/C537818|C16.320.180/C537818|C23.550.210.050.500.500/C537818,C16.131.260|C16.320.180|C23.550.210.050.500.500,"Chromosome 7, monosomy 7p2|Chromosome 7, partial deletion of short arm (7p2-)|Chromosome 7, partial monosomy 7p|Chromosome 7, terminal 7p deletion (del 7p21-p22)",Congenital abnormality|Genetic disease (inborn)|Pathology (process)
9q22.3 Microdeletion,MESH:C579873,,,MESH:D025063,C16.131.260/C579873|C16.320.180/C579873,C16.131.260|C16.320.180,9q22.3 Deletion|9q22 Deletion Syndrome|Microdeletion 9q22.3 Syndrome,Congenital abnormality|Genetic disease (inborn)
Aagenaes syndrome,MESH:C535330,DO:DOID:6691|OMIM:214900,,MESH:D002779|MESH:D008209,C06.130.120.135/C535330|C15.604.496/C535330,C06.130.120.135|C15.604.496,AAGENAES SYNDROME|CHLS|Cholestasis lymphedema syndrome|Cholestasis-Lymphedema Syndrome|LCS|LCS1|Lymphedema - cholestasis syndrome|Lymphedema-Cholestasis Syndrome,Digestive system disease|Lymphatic disease
Aarskog Syndrome,MESH:C535331,DO:DOID:6683|OMIM:305400,,MESH:D004392|MESH:D006228|MESH:D006330|MESH:D040181,C05.116.099.343/C535331|C05.390.408/C535331|C05.660.585.988.425/C535331|C14.240.400/C535331|C14.280.400/C535331|C16.131.240.400/C535331|C16.131.621.585.988.500/C535331|C16.320.240/C535331|C16.320.322/C535331|C19.297/C535331,C05.116.099.343|C05.390.408|C05.660.585.988.425|C14.240.400|C14.280.400|C16.131.240.400|C16.131.621.585.988.500|C16.320.240|C16.320.322|C19.297,"Aarskog Disease|Aarskog-Like Syndrome|Aarskog-Scott Syndrome|AARSKOG SYNDROME, X-LINKED  FACIOGENITAL DYSPLASIA WITH ATTENTION DEFICIT-HYPERACTIVITY DISORDER, INCLUDED|AAS|Facio-Digito-Genital Dysplasia|Faciodigitogenital Syndrome|Faciodigitogenital Syndrome, Recessive|Faciogenital Dysplasia|FGDY|Kuwait Type Faciodigitogenital Syndrome|MENTAL RETARDATION, X-LINKED, SYNDROMIC 16, INCLUDED|MRXS16, INCLUDED|Scott Aarskog Syndrome",Cardiovascular disease|Congenital abnormality|Endocrine system disease|Genetic disease (inborn)|Musculoskeletal disease
"AARSKOG SYNDROME, AUTOSOMAL DOMINANT",OMIM:100050,DO:DOID:6683,,MESH:C535331,C05.116.099.343/C535331/100050|C05.390.408/C535331/100050|C05.660.585.988.425/C535331/100050|C14.240.400/C535331/100050|C14.280.400/C535331/100050|C16.131.240.400/C535331/100050|C16.131.621.585.988.500/C535331/100050|C16.320.240/C535331/100050|C16.320.322/C535331/100050|C19.297/C535331/100050,C05.116.099.343/C535331|C05.390.408/C535331|C05.660.585.988.425/C535331|C14.240.400/C535331|C14.280.400/C535331|C16.131.240.400/C535331|C16.131.621.585.988.500/C535331|C16.320.240/C535331|C16.320.322/C535331|C19.297/C535331,,Cardiovascular disease|Congenital abnormality|Endocrine system disease|Genetic disease (inborn)|Musculoskeletal disease
Aase Smith syndrome,MESH:C535332,,,MESH:D000015|MESH:D002972|MESH:D003286|MESH:D006849|MESH:D017880,C05.500.460.185/C535332|C05.550.323/C535332|C05.651.197/C535332|C05.660.207.540.460.185/C535332|C05.660.585/C535332|C07.320.440.185/C535332|C07.465.525.185/C535332|C07.650.500.460.185/C535332|C07.650.525.185/C535332|C10.228.140.602/C535332|C16.131.077/C535332|C16.131.621.207.540.460.185/C535332|C16.131.621.585/C535332|C16.131.850.500.460.185/C535332|C16.131.850.525.185/C535332,C05.500.460.185|C05.550.323|C05.651.197|C05.660.207.540.460.185|C05.660.585|C07.320.440.185|C07.465.525.185|C07.650.500.460.185|C07.650.525.185|C10.228.140.602|C16.131.077|C16.131.621.207.540.460.185|C16.131.621.585|C16.131.850.500.460.185|C16.131.850.525.185,Aase-Smith Syndrome I|Hydrocephalus cleft palate joint contractures|Joint contractures with other abnormalities,Congenital abnormality|Mouth disease|Musculoskeletal disease|Nervous system disease
Aase Smith syndrome 2,MESH:C538442,,,MESH:D029503,C15.378.071.085.080.090/C538442|C15.378.071.750.500/C538442|C15.378.190.196.080.090/C538442|C16.320.077.090/C538442,C15.378.071.085.080.090|C15.378.071.750.500|C15.378.190.196.080.090|C16.320.077.090,"Aase-Smith Syndrome II|Aase syndrome|Anemia and triphalangeal thumbs|Anemia congenital erythroid hypoplastic|Anemia, Congenital Erythroid Hypoplastic|Aregenerative anemia, chronic congenital|Congenital anemia and triphalangeal thumbs|Diamond-Blackfan Anemia 6|Hypoplastic anemia-triphalangeal thumbs, Aase-Smith type",Blood disease|Genetic disease (inborn)
abc disease,MESH:C579754,,,MESH:D009369,C04/C579754,C04,,Cancer
ABCD syndrome,MESH:C535334,OMIM:600501,,MESH:D014849,C16.131.077.938/C535334,C16.131.077.938,"ABCDS|Albinism, Black lock, Cell migration disorder of the neurocytes of the gut, and Deafness",Congenital abnormality
Abderhalden-Kaufmann-Lignac syndrome,MESH:C535335,,,MESH:D003554,C16.320.565.595.377/C535335|C18.452.648.595.377/C535335,C16.320.565.595.377|C18.452.648.595.377,Abderhalden Kaufmann Lignac syndrome|Abderhalden-Lignac-Kaufmann disease,Genetic disease (inborn)|Metabolic disease
"Abdomen, Acute",MESH:D000006,,"A clinical syndrome with acute abdominal pain that is severe, localized, and rapid in onset. Acute abdomen may be caused by a variety of disorders, injuries, or diseases.",MESH:D015746,C23.888.592.612.054.200|C23.888.821.030.249,C23.888.592.612.054|C23.888.821.030,"Abdomens, Acute|Acute Abdomen|Acute Abdomens",Signs and symptoms
Abdominal Abscess,MESH:D018784,,"An abscess located in the abdominal cavity, i.e., the cavity between the diaphragm above and the pelvis below. (From Dorland, 27th ed)",MESH:D000038,C01.539.830.025.020,C01.539.830.025,"Abdominal Abscesses|Abscess, Abdominal|Abscesses, Abdominal|Abscesses, Intra-Abdominal|Abscess, Intra Abdominal|Abscess, Intra-Abdominal|Intra-Abdominal Abscess|Intra-Abdominal Abscesses",Bacterial infection or mycosis
Abdominal chemodectomas with cutaneous angiolipomas,MESH:C535552,,,MESH:D010236|MESH:D012878,C04.557.465.625.650.700.705/C535552|C04.557.580.625.650.700.705/C535552|C04.588.805/C535552|C17.800.882/C535552,C04.557.465.625.650.700.705|C04.557.580.625.650.700.705|C04.588.805|C17.800.882,"Chemodectoma, Intraabdominal, with Cutaneous Angiolipomas|Familial abdominal chemodectomas with cutaneous angiolipomas",Cancer|Skin disease
Abdominal cystic lymphangioma,MESH:C535553,,,MESH:D012186|MESH:D018191,C04.557.375.450.450/C535553|C04.588.033.731/C535553,C04.557.375.450.450|C04.588.033.731,Abdominal retroperitoneal lymphangioma|Retroperitoneal cystic lymphangioma,Cancer
Abdominal Injuries,MESH:D000007,,General or unspecified injuries involving organs in the abdominal cavity.,MESH:D014947,C26.017,C26,"Abdominal Injury|Injuries, Abdominal|Injury, Abdominal",Wounds and injuries
Abdominal Neoplasms,MESH:D000008,,New abnormal growth of tissue in the ABDOMEN.,MESH:D009371,C04.588.033,C04.588,"Abdominal Neoplasm|Neoplasm, Abdominal|Neoplasms, Abdominal",Cancer
Abdominal obesity metabolic syndrome,MESH:C535554,,,MESH:D024821,C18.452.394.968.500.570/C535554|C18.452.625/C535554,C18.452.394.968.500.570|C18.452.625,Abdominal Obesity-Metabolic Syndrome,Metabolic disease
ABDOMINAL OBESITY-METABOLIC SYNDROME 1,OMIM:605552,DO:DOID:14221,,MESH:C535554|MESH:D056128,C18.452.394.968.500.570/C535554/605552|C18.452.625/C535554/605552|C18.654.726.500.697/605552,C18.452.394.968.500.570/C535554|C18.452.625/C535554|C18.654.726.500.697,"AOMS1|METABOLIC SYNDROME, PROTECTION AGAINST, INCLUDED|METABOLIC SYNDROME X ABDOMINAL OBESITY-METABOLIC SYNDROME QUANTITATIVE TRAIT LOCUS 1, INCLUDED",Metabolic disease|Nutrition disorder
ABDOMINAL OBESITY-METABOLIC SYNDROME 3,OMIM:615812,DO:DOID:0060612,,MESH:C535554|MESH:D056128,C18.452.394.968.500.570/C535554/615812|C18.452.625/C535554/615812|C18.654.726.500.697/615812,C18.452.394.968.500.570/C535554|C18.452.625/C535554|C18.654.726.500.697,"AOMS3|CENTRAL OBESITY, TYPE 2 DIABETES, HYPERTENSION, AND EARLY-ONSET CORONARY ARTERY DISEASE",Metabolic disease|Nutrition disorder
Abdominal Pain,MESH:D015746,,"Sensation of discomfort, distress, or agony in the abdominal region.",MESH:D010146|MESH:D012817,C23.888.592.612.054|C23.888.821.030,C23.888.592.612|C23.888.821,"Abdominal Pains|Colicky Pain|Colicky Pains|Pain, Abdominal|Pain, Colicky|Pains, Abdominal|Pains, Colicky",Signs and symptoms
Abducens Nerve Diseases,MESH:D020434,DO:DOID:10865,"Diseases of the sixth cranial (abducens) nerve or its nucleus in the pons. The nerve may be injured along its course in the pons, intracranially as it travels along the base of the brain, in the cavernous sinus, or at the level of superior orbital fissure or orbit. Dysfunction of the nerve causes lateral rectus muscle weakness, resulting in horizontal diplopia that is maximal when the affected eye is abducted and ESOTROPIA. Common conditions associated with nerve injury include INTRACRANIAL HYPERTENSION; CRANIOCEREBRAL TRAUMA; ISCHEMIA; and INFRATENTORIAL NEOPLASMS.",MESH:D003389,C10.292.150,C10.292,"6th Nerve Palsies|6th Nerve Palsy|Abducens Nerve Disease|Abducens Nerve Palsies|Abducens Nerve Palsy|Abducens Palsies|Abducens Palsy|Abducens Palsy, Childhood, Benign Recurrent|Benign Recurrent Abducens Palsy, Children|Benign Recurrent Abducens Palsy of Childhood|Cranial Nerve VI Diseases|Cranial Nerve VI Palsy|Lateral Rectus Palsies|Lateral Rectus Palsy|Palsies, 6th Nerve|Palsies, Abducens|Palsies, Abducens Nerve|Palsies, Lateral Rectus|Palsies, Sixth Nerve|Palsies, VI Nerve|Palsy, 6th Nerve|Palsy, Abducens|Palsy, Abducens Nerve|Palsy, Lateral Rectus|Palsy, Sixth Nerve|Palsy, VI Nerve|Sixth Cranial Nerve Diseases|Sixth Cranial Nerve Disorders|Sixth Cranial Nerve Palsy|Sixth Nerve Palsies|Sixth Nerve Palsy|VI Nerve Palsy|VIth Cranial Nerve Diseases",Nervous system disease
Abducens Nerve Injury,MESH:D020222,,"Traumatic injury to the abducens, or sixth, cranial nerve. Injury to this nerve results in lateral rectus muscle weakness or paralysis. The nerve may be damaged by closed or penetrating CRANIOCEREBRAL TRAUMA or by facial trauma involving the orbit.",MESH:D020209|MESH:D020434,C10.292.150.100|C10.292.200.200|C10.900.300.218.150|C26.915.300.400.100,C10.292.150|C10.292.200|C10.900.300.218|C26.915.300.400,"Abducens Nerve Injuries|Abducens Nerve Trauma|Abducens Nerve Traumas|Abducens Neuropathies, Traumatic|Abducens Neuropathy, Traumatic|Cranial Nerve VI Injury|Injuries, Abducens Nerve|Injury, Abducens Nerve|Injury, Cranial Nerve VI|Injury, Sixth Cranial Nerve|Nerve Injuries, Abducens|Nerve Injury, Abducens|Nerve Trauma, Abducens|Nerve Traumas, Abducens|Sixth Cranial Nerve Injuries|Sixth Cranial Nerve Injury|Sixth-Nerve Palsies, Traumatic|Sixth Nerve Palsy, Traumatic|Sixth-Nerve Palsy, Traumatic|Sixth Nerve Trauma|Sixth-Nerve Trauma|Sixth-Nerve Traumas|Trauma, Abducens Nerve|Traumas, Abducens Nerve|Trauma, Sixth-Nerve|Traumas, Sixth-Nerve|Traumatic Abducens Neuropathies|Traumatic Abducens Neuropathy|Traumatic Sixth-Nerve Palsies|Traumatic Sixth Nerve Palsy|Traumatic Sixth-Nerve Palsy",Nervous system disease|Wounds and injuries
Aberrant Crypt Foci,MESH:D058739,,Clusters of colonic crypts that appear different from the surrounding mucosa when visualized after staining. They are of interest as putative precursors to colorectal adenomas and potential biomarkers for colorectal carcinoma.,MESH:D011230,C04.834.020,C04.834,"Crypt Foci, Aberrant|Foci, Aberrant Crypt",Cancer
Aberrant subclavian artery,MESH:C535555,,,MESH:D018376,C14.240/C535555|C16.131.240/C535555,C14.240|C16.131.240,Aberrant left subclavian artery|Aberrant right subclavian artery,Cardiovascular disease|Congenital abnormality
Abetalipoproteinemia,MESH:D000012,DO:DOID:1386|OMIM:200100,"An autosomal recessive disorder of lipid metabolism. It is caused by mutation of the microsomal triglyceride transfer protein that catalyzes the transport of lipids (TRIGLYCERIDES; CHOLESTEROL ESTERS; PHOSPHOLIPIDS) and is required in the secretion of BETA-LIPOPROTEINS (low density lipoproteins or LDL). Features include defective intestinal lipid absorption, very low serum cholesterol level, and near absent LDL.",MESH:D006995,C16.320.565.398.500.440.500|C18.452.584.500.875.440.500|C18.452.648.398.500.440.500,C16.320.565.398.500.440|C18.452.584.500.875.440|C18.452.648.398.500.440,"ABL|Acanthocytoses|Acanthocytosis|Bassen Kornzweig Disease|Bassen-Kornzweig Disease|Bassen Kornzweig Syndrome|Bassen-Kornzweig Syndrome|Betalipoprotein Deficiency Disease|Betalipoprotein Deficiency Diseases|Deficiency Disease, Betalipoprotein|Deficiency Diseases, Betalipoprotein|Disease, Betalipoprotein Deficiency|Diseases, Betalipoprotein Deficiency|Microsomal Triglyceride Transfer Protein Deficiency|Microsomal Triglyceride Transfer Protein Deficiency Disease|MTP DEFICIENCY",Genetic disease (inborn)|Metabolic disease
Abetalipoproteinemia neuropathy,MESH:C540309,,,MESH:D000012|MESH:D001259,C10.597.350.090/C540309|C16.320.565.398.500.440.500/C540309|C18.452.584.500.875.440.500/C540309|C18.452.648.398.500.440.500/C540309|C23.888.592.350.090/C540309,C10.597.350.090|C16.320.565.398.500.440.500|C18.452.584.500.875.440.500|C18.452.648.398.500.440.500|C23.888.592.350.090,,Genetic disease (inborn)|Metabolic disease|Nervous system disease|Signs and symptoms
